Tipo;Tiempo_CR;Tiempo_UTC;Lat;Lon;Profundidad_km;Magnitud_Mw;Acelaracion_cms2;Lugar_mayor_aceleracion
M;13/11/2018 02:21;13/11/2018 08:21;8,444;-83,188;22,9;4,1;5,41;Lic Finca Alajuela, Osa
M;12/11/2018 04:47;12/11/2018 10:47;8,581;-83,315;8,6;4,4;6,68;Lic Finca Alajuela, Osa
M;9/11/2018 03:30;9/11/2018 09:30;8,632;-83,259;21,4;3,8;6,02;Lic Finca Alajuela, Osa
A;9/11/2018 03:20;9/11/2018 09:20;8,592;-83,277;29,2;5,5;226,35;Lic. Finca Alajuela,Osa
M;2/11/2018 02:19;2/11/2018 08:19;9,982;-84,074;81,5;4;3,14;Clinica Turrubares
M;1/11/2018 05:13;1/11/2018 11:13;8,104;-83,09;22,5;5,2;93,37;Laurel, Corredores
M;30/10/2018 23:47;31/10/2018 05:47;9,742;-83,915;2,9;3,2;3,96;Paraiso
M;30/10/2018 15:09;30/10/2018 21:09;9,91;-84,223;7;3,1;2,58;San Ignacio Acosta
M;27/10/2018 16:11;27/10/2018 22:11;9,409;-84,419;29,9;3,6;0,88;CAIS Puriscal
M;24/10/2018 03:43;24/10/2018 09:43;9,723;-83,879;9,1;3,1;1,43;Frailes
M;22/10/2018 20:04;23/10/2018 02:04;9,227;-83,665;35,6;3,7;1,71;Col. Matapalo, Quepos
M;22/10/2018 13:47;22/10/2018 19:47;8,743;-82,823;29,7;3,9;2,58;OV-Coton, Coto Brus
A;21/10/2018 19:28;22/10/2018 01:28;8,682;-82,886;30,1;5,2;26,93;Col. Talamanca
M;20/10/2018 09:37;20/10/2018 15:37;8,696;-83,286;19,3;4,4;21,37;Lic Finca Alajuela, Osa
M;10/10/2018 05:34;10/10/2018 11:34;8,94;-84,074;15,8;4,4;2;Quepos
A;8/10/2018 19:48;9/10/2018 01:48;8,932;-84,097;23,3;5,3;8,04;Esc. Bebedero, Escaz372
M;5/10/2018 18:35;6/10/2018 00:35;10,804;-85,094;5,7;4;11,72;Upala
A;30/9/2018 13:09;30/9/2018 19:09;9,484;-84;6,3;3,6;5,27;Clin. Turrubares
M;21/9/2018 22:54;22/9/2018 04:54;10,301;-85,341;42;4,3;5,33;Hosp. Nicoya
M;18/9/2018 12:37;18/9/2018 18:37;11,03;-84,719;13,6;4,2;55,3;Los Chiles
M;18/9/2018 09:32;18/9/2018 15:32;10,023;-83,997;14,3;3,3;2,87;Cascajal, Coronado
M;17/9/2018 01:27;17/9/2018 07:27;8,626;-83,362;6,8;4,5;23,67;Puerto Jimenez
M;17/9/2018 01:20;17/9/2018 07:20;8,62;-83,362;7,4;4,2;10,11;Puerto Jimenez
A;13/9/2018 19:36;14/9/2018 01:36;8,669;-83,236;14,7;5;54,52;Lic. Finca Alajuela,Osa
M;13/9/2018 19:32;14/9/2018 01:32;8,639;-83,252;18,6;4,1;6,69;Lic Finca Alajuela, Osa
M;12/9/2018 23:37;13/9/2018 05:37;9,931;-83,995;8,4;3,2;4,53;Cascajal, Coronado
M;4/9/2018 09:53;4/9/2018 15:53;9,761;-84,115;14,8;3,3;1,67;San Ignacio Acosta
A;30/8/2018 02:02;30/8/2018 08:02;8,585;-83,187;19,4;5,1;49,39;Hosp. C. Neily
A;29/8/2018 15:33;29/8/2018 21:33;8,598;-83,172;13;5,6;153;Hosp Pto Jiménez
M;29/8/2018 09:51;29/8/2018 15:51;10,457;-85,477;6,9;3,5;4,27;Liceo Santa Cruz
M;22/8/2018 22:04;23/8/2018 04:04;9,744;-83,973;7,5;3,5;8,99;Tobosi, Cartago
M;22/8/2018 15:17;22/8/2018 21:17;8,639;-83,225;13,4;3,6;3,44;Golfito
M;22/8/2018 05:33;22/8/2018 11:33;8,644;-83,239;14,7;3,6;3,25;Golfito
M;22/8/2018 04:28;22/8/2018 10:28;8,593;-83,256;16,2;4,6;36,71;Hosp C. Neily
M;20/8/2018 21:42;21/8/2018 03:42;8,589;-83,24;15,4;4,4;23,03;Golfito
M;18/8/2018 20:20;19/8/2018 02:20;8,545;-83,253;12,2;5;28,01;Hosp C. Neily
M;18/8/2018 12:18;18/8/2018 18:18;8,865;-82,776;31,3;4,6;28,2;OV-Coton, Coto Brus
M;18/8/2018 01:55;18/8/2018 07:55;8,535;-83,224;10,5;3,6;3,62;Hosp C. Neily
M;18/8/2018 00:13;18/8/2018 06:13;8,573;-83,236;12,3;3,5;2,89;Hosp C. Neily
M;17/8/2018 21:05;18/8/2018 03:05;8,547;-83,242;12,2;4,1;11,99;Puerto Jimenez
M;17/8/2018 20:54;18/8/2018 02:54;8,611;-83,261;16,2;4,3;18,71;Golfito
